,lat,lon,household_cnt
0,34.931482,127.69365,396
1,34.931796,127.692872,0
2,34.93217,127.690977,4073
3,34.932653,127.696853,1362
4,34.932698,127.719063,132
5,34.933698,127.723044,720
6,34.934324,127.701653,156
7,34.934343,127.71712,903
8,34.934616,127.69573,484
9,34.934619,127.697087,508
10,34.934728,127.690114,1110
11,34.936325,127.720397,572
12,34.936385,127.731015,90
13,34.936801,127.693565,844
14,34.937276,127.730673,60
15,34.937696,127.732675,626
16,34.937925,127.730299,30
17,34.938236,127.687123,616
18,34.938398,127.720248,336
19,34.938626,127.729541,110
20,34.938894,127.728303,60
21,34.938952,127.734291,166
22,34.939212,127.698898,440
23,34.939268,127.71845,210
24,34.939488,127.690336,8
25,34.939984,127.708354,803
26,34.940486,127.685746,6
27,34.940589,127.728429,567
28,34.940704,127.686194,4
29,34.940821,127.686215,6
30,34.941017,127.692279,150
31,34.941267,127.733266,330
32,34.941416,127.697007,59
33,34.941436,127.687275,17
34,34.94167,127.686836,7
35,34.941712,127.685927,225
36,34.941885,127.700684,400
37,34.941922,127.693655,4
38,34.942146,127.731413,54
39,34.942328,127.732321,3
40,34.942456,127.687709,6
41,34.942507,127.693434,1466
42,34.942553,127.732189,3
43,34.942577,127.756438,3
44,34.942615,127.686416,4
45,34.942701,127.733765,225
46,34.942922,127.748806,230
47,34.943049,127.731891,4
48,34.94311,127.689732,465
49,34.94311,127.731169,48
50,34.943202,127.697559,50
51,34.943256,127.686578,11
52,34.943385,127.741667,270
53,34.943388,127.699693,450
54,34.943418,127.731989,1
55,34.943798,127.701356,249
56,34.94519,127.688443,24
57,34.945356,127.689866,640
58,34.945706,127.68589,712
59,34.946463,127.696463,222
60,34.948241,127.697135,4
61,34.949141,127.689446,7
62,34.949411,127.696507,140
63,34.95093,127.687589,449
64,34.951116,127.700913,619
65,34.951398,127.694638,477
66,34.951606,127.691211,352
67,34.951639,127.689984,317
68,34.951843,127.688735,392
69,34.952379,127.701259,307
70,34.952407,127.697832,7
71,34.953125,127.689322,521
72,34.953878,127.691279,214
73,34.953929,127.690052,114
74,34.953971,127.692384,96
75,34.954945,127.688975,132
76,34.9554,127.687112,570
77,34.955572,127.690944,198
78,34.95607,127.69196,524
79,34.956343,127.689441,271
80,34.959024,127.720682,5
81,34.960347,127.727554,498
82,34.961383,127.727233,246
83,34.962172,127.725511,15
84,34.962496,127.717012,67
85,34.962521,127.720297,6
86,34.962522,127.720451,6
87,34.96256,127.717823,6
88,34.962984,127.572741,277
89,34.963002,127.721719,16
90,34.963048,127.721971,4
91,34.963287,127.576867,19
92,34.963519,127.71898,8
93,34.963552,127.72152,11
94,34.963886,127.578025,14
95,34.9639,127.720358,5
96,34.963901,127.720534,5
97,34.964093,127.717762,5
98,34.964158,127.57591,12
99,34.96417,127.576633,49
100,34.964234,127.574355,8
101,34.964236,127.717171,4
102,34.964441,127.71245,488
103,34.96448,127.570006,136
104,34.964498,127.717641,5
105,34.96465,127.572316,8
106,34.964671,127.714497,19
107,34.964685,127.720586,220
108,34.964686,127.569501,215
109,34.964912,127.572413,19
110,34.965156,127.713729,140
111,34.965255,127.717353,6
112,34.965288,127.576791,540
113,34.965312,127.718514,5
114,34.965418,127.717681,4
115,34.965631,127.720112,240
116,34.96571,127.56367,49
117,34.965748,127.716059,795
118,34.966286,127.71908,300
119,34.966349,127.714951,683
120,34.966717,127.718082,655
121,34.966756,127.584285,8
122,34.967214,127.58368,390
123,34.967325,127.721025,924
124,34.967404,127.568414,52
125,34.967415,127.581719,8
126,34.967653,127.713556,295
127,34.967657,127.581368,10
128,34.967677,127.584609,200
129,34.967922,127.582439,8
130,34.967927,127.570974,91
131,34.967927,127.581279,15
132,34.967952,127.610419,851
133,34.967983,127.568893,24
134,34.968039,127.582516,8
135,34.968128,127.582186,18
136,34.968149,127.58303,3
137,34.968204,127.58327,8
138,34.968257,127.582963,6
139,34.968302,127.582843,3
140,34.968605,127.581932,12
141,34.968629,127.568232,8
142,34.968785,127.581789,6
143,34.969006,127.565044,917
144,34.969284,127.582619,10
145,34.969289,127.586879,16
146,34.96934,127.58056,16
147,34.969387,127.568404,497
148,34.969433,127.584009,8
149,34.969653,127.612524,867
150,34.96968,127.582409,7
151,34.969854,127.562805,420
152,34.970152,127.586031,39
153,34.97019,127.584125,17
154,34.970313,127.583194,19
155,34.970347,127.582548,19
156,34.970541,127.583795,15
157,34.971318,127.579082,8
158,34.971353,127.57895,8
159,34.971405,127.578227,230
160,34.971437,127.582312,19
161,34.971725,127.582267,36
162,34.972149,127.582363,99
163,34.972162,127.580819,8
164,34.972271,127.586283,16
165,34.972852,127.582272,45
166,34.973144,127.610219,1439
167,34.973546,127.576793,8
168,34.973698,127.576693,8
169,34.974091,127.578257,8
170,34.974192,127.578531,8
171,34.974591,127.592481,8
172,34.974636,127.609007,627
173,34.974893,127.575439,423
174,34.975081,127.577738,8
175,34.975156,127.59169,8
176,34.975321,127.592489,50
177,34.975333,127.577528,16
178,34.975445,127.591886,6
179,34.975482,127.592017,4
180,34.975509,127.59217,4
181,34.976475,127.574215,708
182,34.977125,127.576895,8
183,34.977236,127.583093,42
184,34.977251,127.576982,8
185,34.977269,127.582151,19
186,34.977339,127.592161,71
187,34.977447,127.576313,8
188,34.97759,127.583847,12
189,34.977673,127.58952,6
190,34.97775,127.577888,8
191,34.97779,127.589497,7
192,34.977928,127.574777,8
193,34.978108,127.574469,15
194,34.978135,127.587524,150
195,34.978155,127.588192,16
196,34.978266,127.591784,370
197,34.978286,127.586823,50
