,lat,lon,household_cnt
0,34.931482,127.69365,396
1,34.931796,127.692872,0
2,34.93217,127.690977,4073
3,34.932653,127.696853,1362
4,34.934324,127.701653,156
5,34.934616,127.69573,484
6,34.934619,127.697087,508
7,34.934728,127.690114,1110
8,34.936801,127.693565,844
9,34.938236,127.687123,616
10,34.939212,127.698898,440
11,34.939488,127.690336,8
12,34.939984,127.708354,803
13,34.940486,127.685746,6
14,34.940704,127.686194,4
15,34.940821,127.686215,6
16,34.941017,127.692279,150
17,34.941416,127.697007,59
18,34.941436,127.687275,17
19,34.94167,127.686836,7
20,34.941712,127.685927,225
21,34.941885,127.700684,400
22,34.941922,127.693655,4
23,34.942456,127.687709,6
24,34.942507,127.693434,1466
25,34.942577,127.756438,3
26,34.942615,127.686416,4
27,34.942922,127.748806,230
28,34.94311,127.689732,465
29,34.943202,127.697559,50
30,34.943256,127.686578,11
31,34.943385,127.741667,270
32,34.943388,127.699693,450
33,34.943798,127.701356,249
34,34.94519,127.688443,24
35,34.945356,127.689866,640
36,34.945706,127.68589,712
37,34.946463,127.696463,222
38,34.948241,127.697135,4
39,34.949141,127.689446,7
40,34.949411,127.696507,140
41,34.95093,127.687589,449
42,34.951116,127.700913,619
43,34.951398,127.694638,477
44,34.951606,127.691211,352
45,34.951639,127.689984,317
46,34.951843,127.688735,392
47,34.952379,127.701259,307
48,34.952407,127.697832,7
49,34.953125,127.689322,521
50,34.953878,127.691279,214
51,34.953929,127.690052,114
52,34.953971,127.692384,96
53,34.954945,127.688975,132
54,34.9554,127.687112,570
55,34.955572,127.690944,198
56,34.95607,127.69196,524
57,34.956343,127.689441,271
58,34.959024,127.720682,5
59,34.960347,127.727554,498
60,34.961383,127.727233,246
61,34.962172,127.725511,15
62,34.962496,127.717012,67
63,34.962521,127.720297,6
64,34.962522,127.720451,6
65,34.96256,127.717823,6
66,34.962984,127.572741,277
67,34.963002,127.721719,16
68,34.963048,127.721971,4
69,34.963287,127.576867,19
70,34.963519,127.71898,8
71,34.963552,127.72152,11
72,34.963886,127.578025,14
73,34.9639,127.720358,5
74,34.963901,127.720534,5
75,34.964093,127.717762,5
76,34.964158,127.57591,12
77,34.96417,127.576633,49
78,34.964234,127.574355,8
79,34.964236,127.717171,4
80,34.964441,127.71245,488
81,34.96448,127.570006,136
82,34.964498,127.717641,5
83,34.96465,127.572316,8
84,34.964671,127.714497,19
85,34.964685,127.720586,220
86,34.964686,127.569501,215
87,34.964912,127.572413,19
88,34.965156,127.713729,140
89,34.965255,127.717353,6
90,34.965288,127.576791,540
91,34.965312,127.718514,5
92,34.965418,127.717681,4
93,34.965631,127.720112,240
94,34.96571,127.56367,49
95,34.965748,127.716059,795
96,34.966286,127.71908,300
97,34.966349,127.714951,683
98,34.966717,127.718082,655
99,34.966756,127.584285,8
100,34.967214,127.58368,390
101,34.967325,127.721025,924
102,34.967404,127.568414,52
103,34.967415,127.581719,8
104,34.967653,127.713556,295
105,34.967657,127.581368,10
106,34.967677,127.584609,200
107,34.967922,127.582439,8
108,34.967927,127.570974,91
109,34.967927,127.581279,15
110,34.967952,127.610419,851
111,34.967983,127.568893,24
112,34.968039,127.582516,8
113,34.968128,127.582186,18
114,34.968149,127.58303,3
115,34.968204,127.58327,8
116,34.968257,127.582963,6
117,34.968302,127.582843,3
118,34.968605,127.581932,12
119,34.968629,127.568232,8
120,34.968785,127.581789,6
121,34.969006,127.565044,917
122,34.969284,127.582619,10
123,34.969289,127.586879,16
124,34.96934,127.58056,16
125,34.969387,127.568404,497
126,34.969433,127.584009,8
127,34.969653,127.612524,867
128,34.96968,127.582409,7
129,34.969854,127.562805,420
130,34.970152,127.586031,39
131,34.97019,127.584125,17
132,34.970313,127.583194,19
133,34.970347,127.582548,19
134,34.970541,127.583795,15
135,34.971318,127.579082,8
136,34.971353,127.57895,8
137,34.971405,127.578227,230
138,34.971437,127.582312,19
139,34.971725,127.582267,36
140,34.972149,127.582363,99
141,34.972162,127.580819,8
142,34.972271,127.586283,16
143,34.972852,127.582272,45
144,34.973144,127.610219,1439
145,34.973546,127.576793,8
146,34.973698,127.576693,8
147,34.974091,127.578257,8
148,34.974192,127.578531,8
149,34.974591,127.592481,8
150,34.974636,127.609007,627
151,34.974893,127.575439,423
152,34.975081,127.577738,8
153,34.975156,127.59169,8
154,34.975321,127.592489,50
155,34.975333,127.577528,16
156,34.975445,127.591886,6
157,34.975482,127.592017,4
158,34.975509,127.59217,4
159,34.976475,127.574215,708
160,34.977125,127.576895,8
161,34.977236,127.583093,42
162,34.977251,127.576982,8
163,34.977269,127.582151,19
164,34.977339,127.592161,71
165,34.977447,127.576313,8
166,34.97759,127.583847,12
167,34.977673,127.58952,6
168,34.97775,127.577888,8
169,34.97779,127.589497,7
170,34.977928,127.574777,8
171,34.978108,127.574469,15
172,34.978135,127.587524,150
173,34.978155,127.588192,16
174,34.978266,127.591784,370
175,34.978286,127.586823,50
176,34.978288,127.576998,8
177,34.978376,127.589659,150
178,34.978528,127.576099,8
179,34.978676,127.574652,8
180,34.978844,127.576108,8
181,34.978866,127.574794,8
182,34.978867,127.575035,6
183,34.97892,127.574837,8
184,34.979108,127.582153,8
185,34.979495,127.576751,24
186,34.979576,127.584516,14
187,34.979582,127.583629,12
188,34.979585,127.576608,16
189,34.979621,127.584483,8
190,34.979877,127.580309,8
191,34.980059,127.58344,21
192,34.980085,127.583177,8
193,34.980345,127.577524,8
194,34.980453,127.577349,8
195,34.980714,127.587906,12
196,34.980847,127.584477,10
197,34.980977,127.706193,20
