,lat,lon,household_cnt
0,34.931796,127.692872,0
1,34.934324,127.701653,156
2,34.939488,127.690336,8
3,34.940486,127.685746,6
4,34.940704,127.686194,4
5,34.940821,127.686215,6
6,34.941436,127.687275,17
7,34.94167,127.686836,7
8,34.941922,127.693655,4
9,34.942456,127.687709,6
10,34.942577,127.756438,3
11,34.942615,127.686416,4
12,34.943202,127.697559,50
13,34.943256,127.686578,11
14,34.94519,127.688443,24
15,34.948241,127.697135,4
16,34.949141,127.689446,7
17,34.952407,127.697832,7
18,34.959024,127.720682,5
19,34.960347,127.727554,498
20,34.962172,127.725511,15
21,34.962496,127.717012,67
22,34.962521,127.720297,6
23,34.962522,127.720451,6
24,34.96256,127.717823,6
25,34.963002,127.721719,16
26,34.963048,127.721971,4
27,34.963287,127.576867,19
28,34.963519,127.71898,8
29,34.963552,127.72152,11
30,34.963886,127.578025,14
31,34.9639,127.720358,5
32,34.963901,127.720534,5
33,34.964093,127.717762,5
34,34.964158,127.57591,12
35,34.964234,127.574355,8
36,34.964236,127.717171,4
37,34.964498,127.717641,5
38,34.96465,127.572316,8
39,34.964671,127.714497,19
40,34.964912,127.572413,19
41,34.965255,127.717353,6
42,34.965312,127.718514,5
43,34.965418,127.717681,4
44,34.96571,127.56367,49
45,34.966756,127.584285,8
46,34.967214,127.58368,390
47,34.967325,127.721025,924
48,34.967415,127.581719,8
49,34.967657,127.581368,10
50,34.967922,127.582439,8
51,34.967927,127.581279,15
52,34.967983,127.568893,24
53,34.968039,127.582516,8
54,34.968128,127.582186,18
55,34.968149,127.58303,3
56,34.968204,127.58327,8
57,34.968257,127.582963,6
58,34.968302,127.582843,3
59,34.968605,127.581932,12
60,34.968629,127.568232,8
61,34.968785,127.581789,6
62,34.969284,127.582619,10
63,34.969289,127.586879,16
64,34.96934,127.58056,16
65,34.969433,127.584009,8
66,34.96968,127.582409,7
67,34.970152,127.586031,39
68,34.97019,127.584125,17
69,34.970313,127.583194,19
70,34.970347,127.582548,19
71,34.970541,127.583795,15
72,34.971318,127.579082,8
73,34.971353,127.57895,8
74,34.972162,127.580819,8
75,34.972271,127.586283,16
76,34.973546,127.576793,8
77,34.973698,127.576693,8
78,34.974091,127.578257,8
79,34.974192,127.578531,8
80,34.974591,127.592481,8
81,34.975081,127.577738,8
82,34.975156,127.59169,8
83,34.975333,127.577528,16
84,34.975445,127.591886,6
85,34.977125,127.576895,8
86,34.977236,127.583093,42
87,34.977251,127.576982,8
88,34.977269,127.582151,19
89,34.977447,127.576313,8
90,34.97759,127.583847,12
91,34.977673,127.58952,6
92,34.97775,127.577888,8
93,34.97779,127.589497,7
94,34.978135,127.587524,150
95,34.978155,127.588192,16
96,34.978288,127.576998,8
97,34.978376,127.589659,150
98,34.978528,127.576099,8
99,34.978676,127.574652,8
100,34.978844,127.576108,8
101,34.978866,127.574794,8
102,34.978867,127.575035,6
103,34.97892,127.574837,8
104,34.979108,127.582153,8
105,34.979495,127.576751,24
106,34.979576,127.584516,14
107,34.979582,127.583629,12
108,34.979585,127.576608,16
109,34.979621,127.584483,8
110,34.979877,127.580309,8
111,34.980059,127.58344,21
112,34.980085,127.583177,8
113,34.980345,127.577524,8
114,34.980453,127.577349,8
115,34.980714,127.587906,12
116,34.980847,127.584477,10
117,34.980977,127.706193,20
118,34.981011,127.587729,18
119,34.981129,127.57752,23
120,34.981129,127.587914,15
121,34.981271,127.584595,8
122,34.981588,127.590486,30
123,34.981654,127.591384,5
124,34.981754,127.59134,40
125,34.981782,127.591668,9
126,34.981894,127.590375,16
127,34.982108,127.581601,0
128,34.983154,127.584356,40
129,34.989466,127.697761,4
130,34.990859,127.699772,48
131,34.99119,127.599092,12
132,34.991361,127.598905,12
133,34.991596,127.598958,10
134,34.991838,127.598541,19
135,35.058258,127.737085,33
