,lat,lon,household_cnt
0,34.931482,127.69365,396
1,34.931796,127.692872,0
2,34.93217,127.690977,4073
3,34.932653,127.696853,1362
4,34.934324,127.701653,156
5,34.934616,127.69573,484
6,34.934619,127.697087,508
7,34.934728,127.690114,1110
8,34.936801,127.693565,844
9,34.938236,127.687123,616
10,34.939212,127.698898,440
11,34.939488,127.690336,8
12,34.939984,127.708354,803
13,34.940486,127.685746,6
14,34.940704,127.686194,4
15,34.940821,127.686215,6
16,34.941017,127.692279,150
17,34.941416,127.697007,59
18,34.941436,127.687275,17
19,34.94167,127.686836,7
20,34.941712,127.685927,225
21,34.941885,127.700684,400
22,34.941922,127.693655,4
23,34.942456,127.687709,6
24,34.942507,127.693434,1466
25,34.942577,127.756438,3
26,34.942615,127.686416,4
27,34.942922,127.748806,230
28,34.94311,127.689732,465
29,34.943201,127.689808,0
30,34.943202,127.697559,50
31,34.943256,127.686578,11
32,34.943385,127.741667,270
33,34.943388,127.699693,450
34,34.943798,127.701356,249
35,34.94519,127.688443,24
36,34.945356,127.689866,640
37,34.945706,127.68589,712
38,34.946463,127.696463,222
39,34.948241,127.697135,4
40,34.949141,127.689446,7
41,34.949411,127.696507,140
42,34.95093,127.687589,449
43,34.951116,127.700913,619
44,34.951398,127.694638,477
45,34.951606,127.691211,352
46,34.951639,127.689984,317
47,34.951843,127.688735,392
48,34.952379,127.701259,307
49,34.952407,127.697832,7
50,34.953125,127.689322,521
51,34.953878,127.691279,214
52,34.953929,127.690052,114
53,34.953971,127.692384,96
54,34.954945,127.688975,132
55,34.9554,127.687112,570
56,34.955572,127.690944,198
57,34.95607,127.69196,524
58,34.956343,127.689441,271
59,34.959024,127.720682,5
60,34.960347,127.727554,498
61,34.961383,127.727233,246
62,34.962172,127.725511,15
63,34.962496,127.717012,67
64,34.962521,127.720297,6
65,34.962522,127.720451,6
66,34.96256,127.717823,6
67,34.962984,127.572741,277
68,34.963002,127.721719,16
69,34.963048,127.721971,4
70,34.963287,127.576867,19
71,34.963519,127.71898,8
72,34.963552,127.72152,11
73,34.963886,127.578025,14
74,34.9639,127.720358,5
75,34.963901,127.720534,5
76,34.964093,127.717762,5
77,34.964158,127.57591,12
78,34.96417,127.576633,49
79,34.964234,127.574355,8
80,34.964236,127.717171,4
81,34.964441,127.71245,488
82,34.96448,127.570006,136
83,34.964486,127.712395,0
84,34.964498,127.717641,5
85,34.96465,127.572316,8
86,34.964671,127.714497,19
87,34.964685,127.720586,220
88,34.964686,127.569501,215
89,34.96473,127.720607,0
90,34.964912,127.572413,19
91,34.965156,127.713729,140
92,34.965255,127.717353,6
93,34.965288,127.576791,540
94,34.965312,127.718514,5
95,34.965418,127.717681,4
96,34.965631,127.720112,240
97,34.96571,127.56367,49
98,34.965748,127.716059,795
99,34.966286,127.71908,300
100,34.966349,127.714951,683
101,34.966717,127.718082,655
102,34.966756,127.584285,8
103,34.967214,127.58368,390
104,34.967325,127.721025,924
105,34.967404,127.568414,52
106,34.967415,127.581719,8
107,34.967477,127.584172,0
108,34.967653,127.713556,295
109,34.967657,127.581368,10
110,34.967677,127.584609,200
111,34.967922,127.582439,8
112,34.967927,127.570974,91
113,34.967927,127.581279,15
114,34.967952,127.610419,851
115,34.967983,127.568893,24
116,34.968039,127.582516,8
117,34.968128,127.582186,18
118,34.968149,127.58303,3
119,34.968204,127.58327,8
120,34.968257,127.582963,6
121,34.968302,127.582843,3
122,34.968605,127.581932,12
123,34.968629,127.568232,8
124,34.968785,127.581789,6
125,34.969006,127.565044,917
126,34.969284,127.582619,10
127,34.969289,127.586879,16
128,34.96934,127.58056,16
129,34.969387,127.568404,497
130,34.969433,127.584009,8
131,34.969653,127.612524,867
132,34.96968,127.582409,7
133,34.969854,127.562805,420
134,34.970152,127.586031,39
135,34.97019,127.584125,17
136,34.970313,127.583194,19
137,34.970347,127.582548,19
138,34.970541,127.583795,15
139,34.971318,127.579082,8
140,34.971353,127.57895,8
141,34.971405,127.578227,230
142,34.971437,127.582312,19
143,34.971725,127.582267,36
144,34.972149,127.582363,99
145,34.972162,127.580819,8
146,34.972271,127.586283,16
147,34.972852,127.582272,45
148,34.973144,127.610219,1439
149,34.973161,127.610219,0
150,34.973546,127.576793,8
151,34.973698,127.576693,8
152,34.974091,127.578257,8
153,34.974192,127.578531,8
154,34.974591,127.592481,8
155,34.974636,127.609007,627
156,34.974893,127.575439,423
157,34.975001,127.575482,0
158,34.975081,127.577738,8
159,34.975156,127.59169,8
160,34.975321,127.592489,50
161,34.975333,127.577528,16
162,34.975445,127.591886,6
163,34.975482,127.592017,4
164,34.975509,127.59217,4
165,34.976475,127.574215,708
166,34.977125,127.576895,8
167,34.977236,127.583093,42
168,34.977251,127.576982,8
169,34.977269,127.582151,19
170,34.97733,127.592172,0
171,34.977339,127.592161,71
172,34.977447,127.576313,8
173,34.97759,127.583847,12
174,34.977673,127.58952,6
175,34.97775,127.577888,8
176,34.97779,127.589497,7
177,34.977928,127.574777,8
178,34.978108,127.574469,15
179,34.978135,127.587524,150
180,34.978155,127.588192,16
181,34.978266,127.591784,370
182,34.978283,127.591379,0
183,34.978286,127.586823,50
184,34.978288,127.576998,8
185,34.978376,127.589659,150
186,34.978528,127.576099,8
187,34.978676,127.574652,8
188,34.978844,127.576108,8
189,34.978866,127.574794,8
190,34.978867,127.575035,6
191,34.97892,127.574837,8
192,34.979108,127.582153,8
193,34.979495,127.576751,24
194,34.979576,127.584516,14
195,34.979582,127.583629,12
196,34.979585,127.576608,16
197,34.979621,127.584483,8
